t,kind,name,model_state,info
2.8,event,v_detect,-,предмет распознан камерой
2.8,cmd,b_go_table,-,"к (-0.02, 0.02)"
10.352,event,b_arrive,-,ошибка позы 0.010 м
10.352,cmd,a_reach,-,над столом
12.88,event,a_reached,-,
12.88,cmd,g_close,-,
14.368,event,g_ok,-,зазор пальцев 0.0008
14.368,cmd,a_stow,-,с предметом
14.368,cmd,b_go_box,-,"поспешно, не дожидаясь a_stowed"
14.384,R1,нарушение,-,"манипулятор 1.57 рад/с, платформа 0.16 м/с"
21.056,event,b_arrive,-,ошибка позы 0.010 м
21.376,event,a_stowed,-,
21.376,cmd,a_reach,-,над контейнером
23.424,event,a_reached,-,
23.424,cmd,g_put,-,
24.416,cmd,a_stow,-,
26.672,event,a_stowed,-,
26.672,cmd,b_go_home,-,"к (-1.80, 0.00)"
34.4,event,b_arrive,-,ошибка позы 0.010 м
