t,kind,name,model_state,info
2.8,event,v_detect,H/S/O/F/Tb,предмет распознан камерой
2.8,cmd,b_go_table,mT/S/O/F/Tb,"к (0.02, 0.08)"
10.464,event,b_arrive,T/S/O/F/Tb,ошибка позы 0.010 м
10.464,cmd,a_reach,T/R/O/F/Tb,над столом
12.992,event,a_reached,T/X/O/F/Tb,
12.992,cmd,g_close,T/X/C/F/Tb,
14.48,event,g_ok,T/X/D/F/Hn,зазор пальцев 0.0008
14.48,cmd,a_stow,T/W/D/F/Hn,с предметом
16.992,event,a_stowed,T/S/D/F/Hn,
16.992,cmd,b_go_box,mB/S/D/F/Hn,"к (-0.60, -1.40)"
23.936,event,b_arrive,B/S/D/F/Hn,ошибка позы 0.010 м
23.936,cmd,a_reach,B/R/D/F/Hn,над контейнером
25.984,event,a_reached,B/X/D/F/Hn,
25.984,cmd,g_put,B/X/O/F/Bx,
26.976,cmd,a_stow,B/W/O/F/Bx,
29.232,event,a_stowed,B/S/O/F/Bx,
29.232,cmd,b_go_home,mH/S/O/F/Bx,"к (-1.80, 0.00)"
36.96,event,b_arrive,H/S/O/F/Bx,ошибка позы 0.010 м
