t,kind,name,model_state,info
2.8,event,v_detect,H/S/O/F/Tb,предмет распознан камерой
2.8,cmd,b_go_table,mT/S/O/F/Tb,"к (0.01, 0.07)"
10.432,event,b_arrive,T/S/O/F/Tb,ошибка позы 0.010 м
10.432,inject,shift,T/S/O/F/Tb,предмет смещён на 35 мм после подъезда
10.432,cmd,a_reach,T/R/O/F/Tb,над столом
18.432,fault,arm_timeout,T/R/O/F/Tb,"поза table не достигнута, ошибки звеньев: 0.000, 0.000, 0.000, 0.080, 0.000"
